# ----------------------------------------,
# 1 Master View,
# Audience Overview,
# 20190101-20190131,
# ----------------------------------------,
Day Index,Pageviews
1/1/19,229
1/2/19,521
1/3/19,467
1/4/19,572
1/5/19,426
1/6/19,392
1/7/19,824
1/8/19,627
1/9/19,753
1/10/19,785
1/11/19,584
1/12/19,532
1/13/19,402
1/14/19,993
1/15/19,626
1/16/19,562
1/17/19,816
1/18/19,474
1/19/19,322
1/20/19,200
1/21/19,240
1/22/19,669
1/23/19,702
1/24/19,771
1/25/19,637
1/26/19,364
1/27/19,316
1/28/19,650
1/29/19,872
1/30/19,954
1/31/19,529
,"17,811"
