# ----------------------------------------
# 1 Master View
# Audience Overview
# 20190101-20190131
# ----------------------------------------

Day Index,Users
1/1/19,38
1/2/19,98
1/3/19,82
1/4/19,88
1/5/19,50
1/6/19,52
1/7/19,127
1/8/19,110
1/9/19,119
1/10/19,117
1/11/19,102
1/12/19,64
1/13/19,55
1/14/19,136
1/15/19,92
1/16/19,72
1/17/19,113
1/18/19,68
1/19/19,47
1/20/19,36
1/21/19,52
1/22/19,104
1/23/19,109
1/24/19,113
1/25/19,118
1/26/19,63
1/27/19,70
1/28/19,106
1/29/19,148
1/30/19,159
1/31/19,92
,"2,800"
